geo,ginfo,gtype,glat,glon,gbox0,gbox1,gbox2,gbox3
Limpsfield,Limpsfield-Tandridge-Surrey-South East-英格兰-英国,administrative,51.2414319,0.0357392436666611,51.1972942,51.285597,-0.0159059,0.0582163
Żelazowa Wola,Żelazowa Wola-gmina Sochaczew-powiat sochaczewski-马佐夫舍省-96-503-波兰,village,52.257203,20.3178116,52.237203,52.277203,20.2978116,20.3378116
Dusseldorf ,杜塞尔多夫会展中心-Düsseldorf-Regierungsbezirk Düsseldorf-北莱茵-威斯特法伦-40213-德国,city,51.2254018,6.7763137,51.0654018,51.3854018,6.6163137,6.9363137
Votkinsk,Воткинск-городской округ Воткинск-Удмуртия-Приволжский федеральный округ-427430-俄罗斯,city,57.052505,53.990612,56.98762900000001,57.083294,53.8724755,54.0398062
锡格堡,西格堡-Rhein-Sieg-Kreis-Regierungsbezirk Köln-北莱茵-威斯特法伦-53721-德国,administrative,50.7928332,7.2070774,50.7797872,50.8280134,7.1741991999999986,7.310481200000001
Piran,Piran / Pirano-Upravna enota Piran / Unità amministrativa Pirano-Obalno-kraška-斯洛文尼亚,administrative,45.5289394,13.5675658,45.4455848,45.6095781,13.384442300000002,13.71236
Busseto,Busseto-PR-EMR-43011-意大利,administrative,44.980567,10.042075,44.8888413,45.0131268,9.988436,10.1468852
Evesham,Evesham-Worcestershire-West Midlands-英格兰-WR11-英国,town,52.0940158,-1.9483083,52.0540158,52.1340158,-1.9883083,-1.9083083
Novospasskoye,Новоспасское-Починковский район-下诺夫哥罗德州-Приволжский федеральный округ-俄罗斯,village,54.6431219,44.8235487,54.6350119,54.6525671,44.81441210000001,44.8304154
Bergedorf,Bergedorf-汉堡市-汉堡-21029-德国,administrative,53.4858,10.2267,53.4677586,53.499341,10.1704506,10.2662395
Cambrai,Cambrai-Nord-Hauts-de-France-法国-59400-法国,administrative,50.1759602,3.2356613,50.1427829,50.2036584,3.2014632,3.2808727
Deutschlandsberg,Deutschlandsberg-Steiermark-奥地利,administrative,46.8146272,15.2137799,46.7930958,46.927924,15.007921,15.2664459
Bonn,波恩-Bonn-Regierungsbezirk Köln-北莱茵-威斯特法伦-53111-德国,city,50.735851,7.10066,50.575851,50.895851,6.94066,7.2606600000000014
Princeton,Princeton-Gibson County-印第安纳州-美国,administrative,38.35532360000001,-87.5675223,38.333293,38.374231,-87.617171,-87.538324
Hukvaldy,Hukvaldy-okres Frýdek-Místek-Moravskoslezský kraj-Moravskoslezsko-捷克,administrative,49.6238084,18.2218883,49.5987059,49.6557188,18.1833608,18.2630002
俄斯特拉发,俄斯特拉发-okres Ostrava-město-Moravskoslezský kraj-Moravskoslezsko-捷克,city,49.8349139,18.2820084,49.7257571,49.9137759,18.098411,18.3763003
Hainaut,Hainaut-Wallonie-比利时,administrative,50.36246120000001,4.1251731786317,49.941742700000006,50.810512,2.8420347,4.6170433
Ermenonville,Ermenonville-桑利-Oise-Hauts-de-France-法国-60950-法国,administrative,49.1258749,2.6957344,49.1010348,49.1483641,2.6472532,2.7501617
Staffordshire,Staffordshire-West Midlands-英格兰-英国,administrative,52.8246942,-2.00745467233481,52.4232438,53.226224,-2.4708418,-1.5853561
Teplice,Teplice-okres Teplice-Ústecký kraj-Severozápad-捷克,administrative,50.6406644,13.8244461,50.6135739,50.6771227,13.7719789,13.8754932
Olomouc,Olomouc-okres Olomouc-Olomoucký kraj-Střední Morava-捷克,city,49.5940567,17.251143,49.5346988,49.6619655,17.1621222,17.396068
Tourcoing,Tourcoing-Lille-Nord-Hauts-de-France-法国-59200-法国,administrative,50.7235038,3.1605714,50.6930811,50.7490318,3.1186236000000003,3.1967341
Royan,Royan-Rochefort-Charente-Maritime-Nouvelle-Aquitaine-法国-17200-法国,administrative,45.6245332,-1.0287636,45.6119614,45.6566781,-1.0544563999999998,-0.9708931
亚洲,亚洲,continent,51.2086975,89.2343748,51.2086475,51.2087475,89.2343248,89.2344248
Fusignano,Fusignano-Unione dei comuni della Bassa Romagna-RA-EMR-48034-意大利,administrative,44.4675026,11.9601925,44.4542003,44.5084234,11.9260647,12.0489623
Luga,Louga-塞内加尔,state,15.2401304,-15.3441834,12.680130400000001,17.800130399999997,-17.904183399999994,-12.7841834
